id;name;description;url;city;donor_category;sector;key_contact
1;fresh-thinking seize;EXE Producer Infrastructure;http://elise.net;West Hayley;protocol RSS bandwidth;paradigms;../fake-data/blob/hipster.txt
2;Bedfordshire;Shores interface;https://carolina.info;South Laviniafurt;solutions;Web Profit-focused Marketing;../fake-data/blob/hipster.txt
3;Electronics Steel;Account;https://andre.name;Newark;Practical Assurance card;whiteboard;../fake-data/blob/hipster.txt
4;Freeway Parkway Optimization;Comoros;https://vesta.org;East Eduardo;Checking quantify;EXE Cambridgeshire Pataca;../fake-data/blob/hipster.txt
5;Supervisor Forward Granite;withdrawal Heights Facilitator;http://evie.net;Florencioburgh;violet compress;Account parsing;../fake-data/blob/hipster.txt
6;copy Nepal;integrated Buckinghamshire;https://mervin.org;Port Bennieland;payment Lebanese;interface Sports Mali;../fake-data/blob/hipster.txt
7;Investor Riyal;Comoros complexity;https://amir.biz;Millieview;experiences;global Future-proofed;../fake-data/blob/hipster.txt
8;Shoes maroon Streets;Customer;http://blake.net;North Donborough;alarm Savings Dynamic;gold copy;../fake-data/blob/hipster.txt
9;Wyoming connect Bike;Home Account harness;https://van.net;Nolanhaven;Manager Massachusetts;Borders Senior Fish;../fake-data/blob/hipster.txt
10;Officer;panel Account Coordinator;http://reed.info;Santa Monica;Orchestrator firewall Plastic;black;../fake-data/blob/hipster.txt
