id;name;acronym;organisation_category;url
1;brand Soap Generic;Islands;ISSAC;http://jeremie.net
2;seamless Yemeni;calculating;PACRES;http://amya.name
3;Analyst Syrian out-of-the-box;Sleek Sports;CROP;https://edison.net
4;Loan transition calculating;Central;CROP;https://stanley.biz
5;Handcrafted Springs;Infrastructure digital port;OTHER;https://maud.com
6;CSS Supervisor 1080p;Rubber;ISSAC;https://josefa.org
7;Account Gibraltar Lempira;Stream holistic proactive;PACRES;http://margarette.biz
8;fuchsia;sexy Investor;PACRES;http://pansy.biz
9;Bacon Tanzania Organic;Assimilated content;ISSAC;http://erwin.com
10;Rupee SQL Toys;Buckinghamshire Electronics SSL;OTHER;http://fern.net
