id;title;description;status;divsion_endorsement;pacific_community_endorsement;total_budget_currency;total_budget;total_budget_breakdown;key_thematic_areas;lessons_learnt_best_practices;full_cost_recovery_coverage;notes
1;Car;../fake-data/blob/hipster.txt;ACTIVE;false;true;FJD;78409;../fake-data/blob/hipster.txt;Prairie;../fake-data/blob/hipster.txt;Branding Bacon deliver;../fake-data/blob/hipster.txt
2;Kids engage;../fake-data/blob/hipster.txt;CLOSED;true;false;YEN;19973;../fake-data/blob/hipster.txt;International collaborative Well;../fake-data/blob/hipster.txt;ivory transmitting;../fake-data/blob/hipster.txt
3;Fields;../fake-data/blob/hipster.txt;CONCEPT;true;true;YEN;41947;../fake-data/blob/hipster.txt;Bypass;../fake-data/blob/hipster.txt;synthesizing Operations;../fake-data/blob/hipster.txt
4;District;../fake-data/blob/hipster.txt;ACTIVE;true;false;AUD;56089;../fake-data/blob/hipster.txt;input;../fake-data/blob/hipster.txt;maximize system;../fake-data/blob/hipster.txt
5;parse Berkshire;../fake-data/blob/hipster.txt;DROPPED;false;true;FJD;95430;../fake-data/blob/hipster.txt;models architect Refined;../fake-data/blob/hipster.txt;tertiary Bedfordshire Forward;../fake-data/blob/hipster.txt
6;Dollar Hawaii bypassing;../fake-data/blob/hipster.txt;PIPELINE;true;false;FJD;46538;../fake-data/blob/hipster.txt;Georgia Bike Designer;../fake-data/blob/hipster.txt;Usability online multimedia;../fake-data/blob/hipster.txt
7;firewall;../fake-data/blob/hipster.txt;COMPLETED;false;false;EUR;80934;../fake-data/blob/hipster.txt;Small;../fake-data/blob/hipster.txt;Indiana Markets;../fake-data/blob/hipster.txt
8;Rubber experiences;../fake-data/blob/hipster.txt;CLOSED;false;false;YEN;17538;../fake-data/blob/hipster.txt;Nebraska Utah;../fake-data/blob/hipster.txt;Borders Kuwaiti;../fake-data/blob/hipster.txt
9;fresh-thinking protocol East;../fake-data/blob/hipster.txt;CLOSED;false;true;GBP;76055;../fake-data/blob/hipster.txt;Table black;../fake-data/blob/hipster.txt;digital neural;../fake-data/blob/hipster.txt
10;TCP Belarussian;../fake-data/blob/hipster.txt;COMPLETED;true;true;YEN;97246;../fake-data/blob/hipster.txt;client-server PNG;../fake-data/blob/hipster.txt;Cambridgeshire connect;../fake-data/blob/hipster.txt
